Scenario,Class,SubClass,Resource,Model,Fips Code,County,State,Sqmi,Land Source,Price Offered,Production,Production Unit,Production Energy Content,Energy Content Unit,Production Density per Sq Mile,BTU/Ton,USDA Region
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,21059,Daviess County,Kentucky,476.47,Crop,40,40.3,dt,699930400,BTU,0.08,17368000,Appalachia
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,28047,Harrison County,Mississippi,581.04,Crop,40,26.8,dt,465462399,BTU,0.05,17368000,Southeast
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,12133,Washington County,Florida,615.95,Crop,40,31.8,dt,552302400,BTU,0.05,17368000,Southeast
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,21043,Carter County,Kentucky,412.12,Crop,40,2,dt,34736000,BTU,0,17368000,Appalachia
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,42025,Carbon County,Pennsylvania,387.44,Crop,40,40.3,dt,699930400,BTU,0.1,17368000,Northeast
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,41001,Baker County,Oregon,3087.98,Crop,40,70.5,dt,1224444000,BTU,0.02,17368000,Pacific
near-term,agriculture land,Agricultural residues,"Pruning residues, tree nuts",NASS 2017 Census,28123,Scott County,Mississippi,610.39,Crop,40,41.6,dt,722508800,BTU,0.07,17368000,Southeast
near-term,agriculture land,Agricultural residues,Rice straw,POLYSYS_NAS,48409,San Patricio County,Texas,704.75,Crop,60,315.1,dt,4692469199,BTU,0.45,14892000,Southern Plains
near-term,agriculture land,Agricultural residues,"Pruning residues, tree nuts",NASS 2017 Census,47037,Davidson County,Tennessee,525.56,Crop,40,11.4,dt,197995200,BTU,0.02,17368000,Appalachia
near-term,agriculture land,Agricultural residues,Wheat straw,POLYSYS,18057,Hamilton County,Indiana,402.47,Crop,70,0,dt,0,BTU,0,14892000,Corn Belt
near-term,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,29143,New Madrid County,Missouri,696.6,Crop,48,19198.2,dt,2.7104E+11,BTU,27.56,14118000,Corn Belt
near-term,agriculture land,Agricultural residues,"Pruning residues, tree nuts",NASS 2017 Census,40023,Choctaw County,Oklahoma,799.52,Crop,40,3324.9,dt,57746863200,BTU,4.16,17368000,Southern Plains
near-term,agriculture land,Agricultural residues,Oats straw,POLYSYS,27091,Martin County,Minnesota,729.58,Crop,70,0,dt,0,BTU,0,14892000,Lake States
